01	0xc1180080
3_R08_DIRECT03	0x35c2f5dc
3_R08_DIRECT04	0x36c2f5dc
3_R08_INSTRUC01	0xbe79fddc
3_R08_INSTRUC02	0xbf79fddc
3_R08_INSTRUC03	0xc079fddc
3_R08_INSTRUC04	0xc179fddc
3_R08_MENU_A	0x8ed6e6f1
3_R08_MENU_A01	0xbfcd44eb
3_R08_MENU_B	0x8fd6e6f1
3_R08_MENU_B01	0xc81045eb
3_R08_MENU_B02	0xc91045eb
3_R08_MENU_B03	0xca1045eb
3_R08_MENU_B04	0xcb1045eb
3_R08_MENU_B05	0xcc1045eb
3_R08_NEG	0xcb7206bb
3_R08_PLAYER01	0x17e75fbf
3_R08_Poor1	0x42e1b9e7
3_R08_Poor2	0x43e1b9e7
3_R08_Rich1	0xb852048a
3_R08_Rich2	0xb952048a
3_R08_Rich3	0xba52048a
3_R08_Rich4	0xbb52048a
3_R08_Rich5	0xbc52048a
3_R08_Rich6	0xbd52048a
3_R08_Rich7	0xbe52048a
3_R08_School1	0x949822a4
3_R08_SignUp	0xf97a459c
3_R08_TOBIAS01	0xcead2e9d
3_R08_TRIGNOBIKE	0xb3bfa8e5
3_R08_store	0x50880e9d
3_R09	0x53b00b8c
3_R09_D1	0x95bc3bba
3_R09_D2	0x96bc3bba
3_R09_D3	0x97bc3bba
3_R09_G1	0x1ebe3bba
3_R09_G2	0x1fbe3bba
3_R09_G3	0x20be3bba
3_R09_J1	0xa7bf3bba
3_R09_J2	0xa8bf3bba
3_R09_J3	0xa9bf3bba
3_R09_N	0xd61c8ffb
3_R09_N1	0xb3c13bba
3_R09_N2	0xb4c13bba
3_R09_N3	0xb5c13bba
3_R09_P1	0xb9c23bba
3_R09_P2	0xbac23bba
3_R09_P3	0xbbc23bba
3_S03	0x56f30b8c
3_S03_Finish	0x505656d6
3_S03_GallowayJimmyStart	0xb7c1c2b3
3_S03_GallowayJimmyStart_Child	0x50d085a0
3_S03_Give	0x86f92dc1
3_S03_Give_Anim	0x02483ad7
3_S03_Give_Anim_Detach	0xb43a3df0
3_S03_Give_Idle	0x01184ad8
3_S03_Givebottle	0x34f8669b
3_S03_Intro	0x1f214dfe
3_S03_Rcv	0x3c8af597
3_S03_Rcv_Anim	0xc49b1dda
3_S03_Rcv_Idle	0xc36b2ddb
3_S03_SetupConv02	0x7a25888b
3_S03_SetupConv03	0x7b25888b
3_S03_SetupConv04	0x7c25888b
3_S03_SetupConv05	0x7d25888b
3_S08	0x5bf30b8c
3_S09	0x5cf30b8c
3_S09_RaisedBrow	0x1f146fa6
3_S09_RaisedBrow_Child	0x78a2cc96
3_S09_Start	0x5bbfceea
3_S10	0xd6f30b8c
3_S10_Tags	0xfe830f85
3_S11	0xd7f30b8c
3_S11_Asylum_Gate_NIS	0x06e2a38f
3_S11_Asylum_Gate_NIS_1_1	0xf299a0e5
3_S11_Asylum_Gate_NIS_2_1	0xfbdca0e5
3_S11_Asylum_Gate_NIS_3_1	0x0420a1e5
3_S11_Drop_Out	0x3e3245c4
3_S11_Drop_Out_1_1	0xaacb8aa2
3_S11_Drop_Out_2_1	0xb30e8ba2
3_S11_Drop_Out_3_1	0xbc518ba2
3_S11_Drop_Out_4_1	0xc5948ba2
3_S11_Drop_Out_5_1	0xced78ba2
3_S11_FireSwitch	0x8a04caab
3_S11_Get_Bottle	0x9f888da5
3_S11_O_P_Struggle	0xa4d85584
3_S11_O_Struggle_Break	0x5d61a6ce
3_S11_O_Struggle_Idle	0x5e4282d7
3_S11_P_Struggle_Break	0x481f22a6
3_S11_P_Struggle_Idle	0xd7c240aa
3_S11_Patient_Fall	0x9d1cc1a0
3_S11_Patient_Get_Up	0x8ecf19f4
3_S11_Shove	0xd5a907bb
3_S11_Shove_Back	0x918386b8
3_S11_Shove_Bank	0x328986b8
3_S11_Stand_Smoke	0x2e5c1ab8
3_S11_Stand_Talking	0x756be494
3_XM	0x8d83ee86
3rd_gen_crosshair	0x1de7fd9b
3rd_no_crosshair	0x261babd8
4	0x34000080
4-10	0x54a50387
4-10_Nose	0x8a0882e1
4-10_Trip	0x349e50e2
404Conv	0xb0fdedf6
4ArmHi	0x69c8eb96
4ArmHi_Loop	0xc254a0b6
4ArmLow	0x489da8ba
4ArmLow_Loop	0xef49cdfe
4B1	0xcbbf0d80
4B2	0xccbf0d80
4_01	0x94bc1087
4_01_Mandy	0xbc8fc7f4
4_02	0x95bc1087
4_02_CS1	0xaf1b3bf2
4_02_CS1_1_1	0x6bfe8c95
4_02_CS1_2_1	0x74418d95
4_02_CS1_3_1	0x7d848d95
4_02_CS1_4_1	0x86c78d95
4_02_CS2	0xb01b3bf2
4_02_CS2_1_1	0xbcb41aa7
4_02_CS2_2_1	0xc5f71aa7
4_02_CS2_5	0x023a53fc
4_02_CS2_5_1_1	0xae9874a3
4_02_CS2_5_2_1	0xb7db74a3
4_02_CS2_5_3_1	0xc01e75a3
4_02_CS2_5_4_1	0xc96175a3
4_02_CS2_5_5_1	0xd2a475a3
4_02_CS2_6	0x033a53fc
4_02_CS2_6_1_1	0xff4e02b5
4_02_CS2_6_2_1	0x089202b5
4_02_CS2_6_3_1	0x11d502b5
4_02_CS2_6_4_1	0x1a1803b5
4_02_CS2_6_5_1	0x235b03b5
4_02_CS2_6_6_1	0x2c9e03b5
4_02_CS2_6_7_1	0x35e103b5
4_02_CS3	0xb11b3bf2
4_02_CS3_1_1	0x0d6ba8b8
4_02_CS3_2_1	0x16aea8b8
4_02_CS3_2_2	0x17aea8b8
4_02_CS3_3_1	0x1ff1a8b8
4_02_CS3_4_1	0x2834a9b8
4_02_CS3_4_2	0x2934a9b8
4_02_CS3_4_3	0x2a34a9b8
4_02_CS4	0xb21b3bf2
4_02_CS4_1_1	0x5e2136ca
4_02_CS4_2_1	0x676436ca
4_02_CS4_3_1	0x70a736ca
4_02_CS4_4_1	0x79ea36ca
4_03	0x96bc1087
4_03_CS1	0x00d2c883
4_03_CS1_1_1	0x0c449eae
4_03_CS1_2_1	0x15879eae
4_03_CS1_3_1	0x1eca9eae
4_03_CS1_4_1	0x270d9fae
4_03_CS1_5_1	0x30509fae
4_03_CS1_6_1	0x39939fae
4_03_CS2	0x01d2c883
4_03_CS2_1_1	0x5dfa2bc0
4_03_CS2_2_1	0x663d2cc0
4_03_CS2_3_1	0x6f802cc0
4_03_Door_Attacker	0x69e543e5
4_03_Door_Attacker_Idle	0xfa8f4aac
4_03_Door_Attacker_Ready	0xd58142c8
4_03_Door_Attacker_Run	0x6dad39b0
4_03_Tad_Fight	0xb76952ab
4_03_Tad_Fight_Run	0x1bfed6b9
4_03_Tad_Fight_Threat	0x92b7a182
4_04	0x97bc1087
4_05	0x98bc1087
4_05c	0x0b82909d
4_06	0x99bc1087
4_06_AI	0x863747dc
4_06_Al_01	0x0bce1dab
4_06_Al_02	0x0cce1dab
4_06_Al_03	0x0dce1dab
4_06_Algernon	0xfa8734d0
4_06_BEATRICE_01	0xcb8a17b3
4_06_BEATRICE_02	0xcc8a17b3
4_06_BEATRICE_03	0xcd8a17b3
4_06_BEATRICE_04	0xce8a17b3
4_06_BEATRICE_05	0xcf8a17b3
4_06_Beatrice	0xc999eaf8
4_06_Cheer_01	0x656531f5
4_06_Cheer_02	0x666531f5
4_06_Cheering_Sitting	0xdce4b0ac
4_06_Cheering_Sitting_33	0xd7b741a9
4_06_Cheering_Sitting_66	0x63b941a9
4_06_Cheering_Sitting_99	0xefba41a9
4_06_Cheering_Standing	0x2020618d
4_06_Cheering_Standing_33	0x030ed194
4_06_Cheering_Standing_66	0x8f0fd194
4_06_Cheering_Standing_99	0x1b11d194
4_06_Coach_Switch	0xcf0cafec
4_06_DONALD_01	0x888e72d4
4_06_DONALD_02	0x898e72d4
4_06_Donald	0x50cf33b5
4_06_Field_JJ	0x830c1589
4_06_Field_JJ_Loop	0x708a85b1
4_06_Field_JJ_Start	0x6aaeddd2
4_06_Field_JJ_Stop	0xdaf876b2
4_06_Field_JJ_To_Pushup	0x65a33f83
4_06_Field_Pushup_To_JJ	0x0d9cd1ec
4_06_Field_Pushups	0xfb3f38e9
4_06_Field_Pushups_Loop	0x58d149e3
4_06_Field_Pushups_Start	0x22f74dca
4_06_Field_Pushups_Stop	0xc23f3be4
4_06_Field_Run	0x4085c7a5
4_06_Field_Run_Loop	0x572685ef
4_06_Field_Run_Stop	0xc19476f0
4_06_Glue	0x37ccd7e2
4_06_Go_Wizz	0xaff2f584
4_06_Hack_Switch	0xc4cb1cac
4_06_Hack_Switch_Action	0x8133ae8c
4_06_Intro_01	0xc6514f9e
4_06_Intro_02	0xc7514f9e
4_06_Intro_03	0xc8514f9e
4_06_Intro_04	0xc9514f9e
4_06_Introduction	0x3caaddbd
4_06_Jeering_Sitting	0x314276c2
4_06_Jeering_Sitting_33	0x4ecb1d9a
4_06_Jeering_Sitting_66	0xdacc1d9a
4_06_Jeering_Sitting_99	0x66ce1d9a
4_06_Jeering_Standing	0x9fe25fb1
4_06_Jeering_Standing_33	0xe8036fd5
4_06_Jeering_Standing_66	0x74056fd5
4_06_Jeering_Standing_99	0x00076fd5
4_06_Marbled	0xed97e798
4_06_MarbledL	0x93be82be
4_06_MarbledR	0x99be82be
4_06_Pool_Bench_01	0xed81ce8d
4_06_Pool_Bench_Cheer_01	0xc7300ae1
4_06_Pool_Bench_Cheer_02	0xc8300ae1
4_06_Pool_Bench_Dance_Fail_01	0x0231ddbb
4_06_Pool_Bench_Dance_Pass_01	0xe38550fb
4_06_Pool_Bench_Sit_01	0x4272f88e
4_06_Pool_Pee	0xc36503c6
4_06_Stop_Sound	0x4cd069db
4_06_Throw_Tacks	0x5bf96a8d
4_06_Throw_Tacks_Deploy	0xb34aee9f
4_06_WaitForJim	0x70e725ff
4_06_Wizz	0x70dffbe4
4_B1	0xcac51087
4_B2	0xcbc51087
4_B2_Blank	0x24ca00cf
4_DC	0xe2c61087
4_G4	0x5cc81087
4_G4_Hello	0x17c9c7f5
4_G4_Launch	0xf6754bee
4_G4_MandyIntro	0x1882c594
4_G4_MandyIntro_01	0xa0f5ffc2
4_G4_MandyIntro_02	0xa1f5ffc2
4_G4_MandyIntro_03	0xa2f5ffc2
4_G4_MandyIntro_04	0xa3f5ffc2
4_G4_MandyIntro_05	0xa4f5ffc2
4_G4_MandyIntro_06	0xa5f5ffc2
4_G4_MandyIntro_07	0xa6f5ffc2
4_G4_Where	0x708e7afd
4_S11_06	0x5507a1bd
4_S11_07	0x5607a1bd
4_S11_08	0x5707a1bd
4_S11_09	0x5807a1bd
4_S11_10	0xd207a1bd
4_S11_21	0x5608a1bd
4_S11_22	0x5708a1bd
4_S11_Money	0x2dcd79b9
4_S11_Start	0x473674a3
4_S12	0x29aa999d
4_S12_01	0xeb54c3bd
4_S12_02	0xec54c3bd
4_S12_03	0xed54c3bd
4_S12_Conv	0x1243abcd
4_S12_DELIVERDRESS	0xa82e4efa
4_S12_DELIVERNECKLACE	0x4d1d41bc
4_S12_Delivery	0x0e239290
4_S12_EndCinematic	0x586990a1
4_S12_FAIL01	0xedf1b189
4_S12_FAIL02	0xeef1b189
4_S12_Fail	0xcc7e0ece
4_S12_IncrementDelivery	0xe5ca8693
4_S12_Init	0x1acf78ce
4_S12_Intro	0xfadad4a7
4_S12_Launch	0xc5e967f0
4_S12_MENU	0xc5acffce
4_S12_NEG	0xd259fc9a
4_S12_NO	0x6364c3bd
4_S12_NODRESS	0xdc9eee85
4_S12_NONECKLACE	0xc9b00cef
4_S12_NOPERFUME	0x0da213be
4_S12_POS	0x0ee5fc9a
4_S12_SUC01	0x449449d8
4_S12_SUC02	0x459449d8
4_S12_SUC03	0x469449d8
4_S12_SUC04	0x479449d8
4_S12_SUC05	0x489449d8
4_S12_SUC06	0x499449d8
4_S12_Success	0x652cf5de
4_S12_YES	0x413bff9a
5	0x35000080
5-8	0x1cf80d80
5-8_HitSelf	0xf066eda9
5-8_IndianBurn	0x59de01f7
5-8_NoogieSpit	0xf819abab
5-8_Pee	0xc54b0b83
5-8_Vs_4-10	0x43f8c59b
5-8_Vs_6-1	0x43fb2eac
5-8_Vs_Player	0x8051c0ee
5-8_Wedg	0xd0e4b78f
507a_PlayerZoe	0x7195fc81
507b_Barricade	0xc420eccb
507b_Gate	0x40ba4dcb
507b_Intro	0x37b39fad
5_01	0x2f0a3387
5_01StartConv	0x17cdb3ad
5_01StartConv_10	0x8711b4fd
5_01StartConv_11	0x8811b4fd
5_01StartConv_2	0x9e6bffa9
5_01StartConv_3	0x9f6bffa9
5_01StartConv_4	0xa06bffa9
5_01StartConv_5	0xa16bffa9
5_01StartConv_6	0xa26bffa9
5_01StartConv_7	0xa36bffa9
5_01StartConv_8	0xa46bffa9
5_01StartConv_9	0xa56bffa9
5_01_Empty	0x1db0ccbd
5_01_Librarian	0xd424cdde
5_01_Librarian_ClearAction	0x18cc6baf
5_01_Librarian_actionCower	0xbb2b60c9
5_01_Librarian_actionCry	0x55cdaba5
5_01_Librarian_actionLookAround	0x898144f2
5_01_PlayerCollapse	0xb65279f9
5_01_PoisonEffect0	0xff57d0a7
5_01_PoisonEffect1	0x0058d0a7
5_01_PoisonEffect1cycle	0x9aec74f0
5_01_PoisonEffect1intro	0x8c5352d8
5_01_PoisonEffect1outro	0xafb894c2
5_01_PoisonEffect2	0x0158d0a7
5_01_PoisonEffect2cycle	0x0d38f9eb
5_01_PoisonEffect2intro	0xff9ed6d3
5_01_PoisonEffect2outro	0x220419be
5_01_PoisonEffect3	0x0258d0a7
5_01_PoisonEffect3intro	0x72ea5acf
5_01_Rat_Ambience_Start	0xb7c0a581
5_01_Rat_Ambience_Stop	0xc9814d9e
5_01_START	0x36d978b4
5_01_WipeCrateLabel	0xc4904a9a
5_02	0x300a3387
5_02StartConv02	0x0ce9c7c8
5_02StartConv03	0x0de9c7c8
5_03	0x310a3387
5_03_Cell_Door_Switch	0x9a3663a0
5_03_Crazy_Door	0x8e64bbd5
5_03_DoorSwitch	0xac2c7fcf
5_03_Johnny_In_Cell	0xb5057297
5_03_Johnny_Intro1_1	0x725c47b9
5_03_Johnny_Intro1_1_5	0xd446b4b0
5_03_Johnny_Intro1_2	0x735c47b9
