AIConditionGroup	0x88EE6637
ClothingWarmthFactor	0xFC3BAA56
Clothing	0xB8BBB34E
CollisionStart	0x0CCB901B
CollisionWeaponType	0x70F59A2C
ConditionFlag	0xFBF36F5F
ConditionGroup	0x5C13A968
Controller	0x4CE27A5E
ConversationActive	0x3584A139
DamageFromBurningFire	0xEC740E32
DamagePending	0x40F21C7B
Damage	0x9FD6814E
DayCond	0x86175C7F
DetectGrenade	0x7BEBE47E
DetectProjectile	0x4898181E
DistToGround	0x34596A44
DistToTarget	0x724C1C60
DodgeballBallCount	0x42FC5331
DodgeballBallLocation	0x720CA540
DodgeballBallState	0xA8ABD54A
DodgeballCanPathTo	0x5E5A687F
DodgeballCanPickup	0x3AAF8F09
DodgeballGameFlag	0xE0F9D46E
DodgeballGameOver	0xC4540C70
DodgeballMessage	0x3D924C6B
DodgeballPedFlag	0x7DA45B00
DodgeballPedInArea	0x53D3F014
DodgeballPedLocation	0x824B4E2D
EngageDistance	0xFE2B075F
EntitySpeed	0x900EB67F
ErrandCond	0xF4745515
EvaluatedEntityType	0x24A69061
FactionNear	0x6041FD2C
FactionScan	0x513FA82D
False	0xEB9F8955
FightClass	0x18C7D02B
FightToken	0x7562A356
FindSnow	0x341DE803
FindSurface	0x20864B22
FindTandemHelper	0x22B1FC49
FireInRange	0x8A1BB60D
FocusConditionGroup	0x448A5A60
FrontEndActive	0x50960C32
GrapplingHookAnchord	0x70AFA344
HasAllyMorale	0x20BA9E71
HasAllyState	0xCF51DB14
HasEnoughCash	0x45528624
HasGiftItemOfType	0x22561211
HasGrappleTarget	0xF6C1B243
HasLineOfSightToPlayer	0x0C6B6733
HasNewAudibleStimulus	0xF6EF8E12
HasNodeCooldown	0xB7986A5D
HasPlayerMaxItems	0xF302683E
HasRangedWeapon	0xC91B6C3D
HasSpeechEvent	0x36861E5A
HasSweptSphereCollision	0x72389138
HaveDynamicPOI	0xE7F19314
HaveIAssaultedTargetPed	0x73603834
HaveIAttacked	0x740A456A
HaveIDismissedTargetPed	0x9698BC7F
HavePOIOfType	0xE3AD1B4E
HavePOI	0xBE42C21D
Health	0x78223101
HearPlayerFootsteps	0xF6C6FD0C
HitByPed	0xDD478035
HitFlagClear	0xC62CC60F
HitLocation	0xA4D7EB16
HitLocation	0xA4D7EB16
HitTime	0x80E7C958
HudComponentVisible	0x9876A50B
HumiliationGroupIs	0xE6E84070
IgnoreAttacks	0x3D638916
InAttackCone	0x98F2112F
InBikeRace	0x0372A350
InCar	0x434FEE0B
InCombatZone	0xA5FF5A74
InTriggerVolume	0x59291B5A
Interval	0x0DA71D68
IsAllyFollower	0x40EFBA7D
IsAllyLeader	0xDB2D4C0C
IsAuthority	0xE934FC00
IsAvoiding	0xA3DE0F36
IsDayTime	0x93CA8B5D
IsElderly	0x857E4D6E
IsEmotionTowardsPlayer	0x3C94460A
IsEmotionTowardsTarget	0x385D8339
IsFemale	0xD693AD2D
IsGuarding	0x9B0B7F2A
IsHangingOut	0x3066E829
IsHealthAtHumiliationLevel	0xB665227C
IsHungUp	0x4374B53D
IsIgnoreTruants	0x2BAD0E3D
IsInFactionWithStimulusObject	0x748A3F0A
IsInFight	0x6944C25B
IsInsideTether	0x6035975F
IsMiniObjectiveComplete	0x49D91A2F
IsMissionActive	0x6448AC6D
IsMissionSpecific	0x74E8695C
IsNISorCutsceneRunning	0xA0CEAE17
IsObjectiveVehicleOwner	0x76B23B4F
IsOnSnow	0x6CDE2024
IsParametricStatic	0x7051443B
IsPatrolPed	0xD5366B77
IsPlayerFacingMirror	0x040D6B24
IsPlayerFatigued	0x7475950F
IsPlayerNearby	0x3AE13B52
IsPlayerTired	0x113DBB60
IsPlayer	0x9724237A
IsPowerSliding	0x7B42425A
IsReadyToBeKissed	0x80D00218
IsRegisteredAsGirlfriend	0x88611B75
IsRumbleModeAmbient	0x6ED01B09
IsRumbleModeMission	0xDE202B3F
IsScenarioPed	0x4D2E7F52
IsScriptedAmbient	0x00B7E825
IsSocialInitialAction	0x23105401
IsSocialInitialReaction	0xCE30DB4F
IsSocialStateAct	0x10A4F507
IsSocialStateWait	0x2314A515
IsSocialTarget	0xF4D60C01
IsSocializingWithPlayer	0x497FE909
IsSocializing	0xCE33CD55
IsSoundBankLoaded	0xBEDD1179
IsSpeechBusy	0x61741551
IsSpeechPreloaded	0xDCCF8617
IsSpeechStreamFree	0x94B99B68
IsStationary	0x66D3CA4F
IsStealthMissionChar	0x99B62060
IsStimulusObject	0x0750016C
IsStimulusPriority	0x98CC911C
IsStrafing	0xBEF23518
IsTagDrawing	0xC28BAF2B
IsTagWaiting	0xF1E32E6D
IsTakingPictureFreeze	0x3F545641
IsTandemHelper	0xDF45992A
IsTargetAttackRightsTaken	0xC1076716
IsTargetBusySocializing	0xCC51E204
IsTargetInRange	0xE18EB81A
IsTargetOnBike	0xF37D4A33
IsTargetOutOfReach	0xA586B006
IsTargetProp	0x928F0572
IsTethered	0x472DED6A
IsUsingDoor	0x64D6AA1A
IsWantingToSocialize	0x10808E63
IsWeaponFiredWhenDropped	0x1A50C13A
JoinCombatZone	0x02E9F63B
LastSurfaceOn	0x268AE945
LineOfFireClear	0x48BAA62C
LiquidLevel	0xE06D0A18
LiquidType	0x5626DB3D
LuaCond	0xB2C3FD25
MePlayingDefaultNeutralState	0x696FC523
MePlayingDefaultNeutralState	0x696FC523
MePlaying	0x8E59B15C
MissionAvailable	0xF92EF848
MissionCanLaunch	0x2720FB10
MissionCond	0x664DBA33
MissionInClass	0xD7AD5823
MissionSuccessCount	0xC8A4046E
MissionUnlocked	0x8F3BB83B
MotionCycle	0xF4E65D1C
MotionIntentionSpeed	0xA5CD6679
MotionIntention	0xC65BE261
NOT	0x7F951400
NearbyDockLocation	0x7FDFEE01
NearbyFleeDockLocation	0x7191FE34
NeedsToDive	0x98538A77
NumAuthorityInPursuit	0xF8A5B619
OR	0xBF280000
ObjectiveOfType	0x32611710
Objective	0x25DA442E
OnBike	0x581BEC7F
OnMission	0xE9EFEB6B
OnVehicleOfClass	0x6428E31F
OpeningBranchChildHasChild	0xD0A8622E
POIClearOfPeds	0x5256453E
ParametricTime	0xD1CAD513
PedConditionGroup	0x27284C51
PedFightingSystem	0x0C7E5F29
PedFlags	0x941D142A
PedHasNumAttackers	0xB3151577
PedInConversation	0xF7189138
PedIsDriver	0x1948327E
PedIsInOutfit	0x6D006170
PedIsTrigger	0x0396E25C
PedModelID	0x99C34456
PedNearPropSocket	0x3D440946
PedSphereHit	0xE3FDFD50
PedType	0x85657677
PedVelocity	0x0C8A4053
PercentageHealth	0xBA7B8058
PlayerHasPunishmentOfType	0x1963374E
PlayerHasPunishmentPoints	0x73E23A66
PlayerHasRequiredGift	0xC848E274
PlayerInTriggerVolume	0x4CD37C1C
PlayerIsInStealthProp	0x06031248
PlayerUseSocialOverride	0x0B4E1759
Print	0xC51A5907
PropAttached	0x67764A64
PropDisplayUseText	0x7546D91E
PropFlags	0xD8FF7247
PropHealth	0x2FD6020C
PropIsPlaying	0x719E507E
PropLifeTime	0xF42B3F49
PropModelID	0xFD83D233
PropModelLoaded	0x33FF354B
PropPedIsUsingMe	0xB6C3D852
PropTagPercentage	0x1DC6146F
PropTargetHeight	0xF7506E44
PropTargetInteractive	0xC6708901
PropTargetInteractive	0xC6708901
PropTargetIsTwoHanded	0xF0BE7D28
Random	0xBF11E10F
Random	0xBF11E10F
RangeToFocus	0xF00FAC65
RangeToObjectiveVehicle	0x137C1241
RangeToTarget	0x6D2A8754
RelativePosition	0xDD61AF3D
RunningAttack	0xA3EF541C
ScriptSaveData	0x2AFD396B
Season	0x1F33E24F
SensePlayerDuration	0x97C89464
SensePlayer	0xAF5B6155
SenseTargetNow	0x0B38923B
SetPedFlags	0xE2FB8453
ShouldAllowApology	0x1346651A
ShouldSocialize	0xE85E7573
SizeOfGroup	0xB3C94930
SocialActionInterrupted	0xBFE9C352
SocialAnimIs	0x88EA3803
SocialEmotionIs	0x0C524941
SocialScriptCallback	0x05E7FF45
SocialTypeAUTH	0x076CBA75
SocialTypeBULLY	0x03E8F04F
SocialTypeFAT	0x0690DD57
SocialTypeGEN	0x15D5DD57
SocialTypeGIRL	0x3B188576
SocialTypeNERDGIRL	0xDC88FC50
SocialTypeNERD	0x4C2B7477
SocialTypeOLD	0xE8F0DF57
SpecialPoints	0x58913466
Spotted	0xADF75225
Sprint	0x0E913D13
Stat	0xCC49350B
Stat	0xCC49350B
StealthBehavior	0x35682B00
Steering	0x01028311
StimulusRepeated	0xCC826B3C
Stimulus	0xE297690C
SurfaceGrade	0xC65AAF24
TargetAttacker	0x5642F65C
TargetByType	0xCEB7157B
TargetClothing	0xEDF4C60A
TargetConditionGroup	0x49A87103
TargetConditionGroup	0x49A87103
TargetFaction	0xCBFB690F
TargetFriendsAttacker	0xF13C3561
TargetHealth	0x45168E7E
TargetIsVisible	0x3BF04541
TargetMyTargetsProp	0xD07A3C5D
TargetMyTargetsVehicle	0x3F55E86E
TargetPed	0x1A25F073
TargetPlayersGF	0xC8B80D1E
TargetPlaying	0x1167A34A
TargetProjectile	0x46B75B61
TargetPropClearOfPeds	0x6CAC464E
TargetProp	0xB469E653
TargetProp	0xB469E653
TargetProxyProp	0xACD77D2F
TargetRelativeCharacterSize	0x891ABF08
TargetRelativeHeight	0x8414D037
TargetRelativeOrientation	0xAB5BF667
TargetRelativePedCollisionSpheres	0xE6558C4D
TargetRelativePosition	0x32A5B62D
TargetStimulusEntityObject	0xF5E25859
TargetStimulusEntitySubject	0x7E7B562A
TargetStimulusObject	0xB615BD40
TargetStimulusSubject	0x41749C12
TargetVehicleBike	0xE84C2838
TargetVehicleCar	0x59C8F63E
TargetVehicleIsAlreadyOccupied	0x019C6708
TargetVehicleIsLastVehicleUsed	0x72A44B53
TargetVehicleIsPlaying	0xA592CB6A
TargetVehicleIs	0x51BE5D05
TargetVehicleOwnerDifferentFaction	0xC74DA664
TargetVehicle	0x4B8DEE1E
TargetedByPlayer	0xB06BA058
TargetedByTarget	0xAC34DD07
TargetsPunishPoints	0x5A26CD14
TestRequiredGiftType	0x8F9ABD4F
ThisNodeIsNotPlaying	0x01D4027E
ThisNodeIsPlaying	0x7023D343
TimeCond	0x6F715D1F
TimeSincePedalling	0xC71BC252
UseSocialOverride	0x80BB2D74
VehicleWheelsOnGround	0xE6F4DE29
VisibleArea	0x0FAB8B25
WallHitDirection	0xCE21CD6C
WeaponAmmo	0x96EE0908
WeaponAmmo	0x96EE0908
WeaponCanBeUsedOnBike	0x643FA35D
WeaponCount	0xB3367740
WeaponDamaged	0x9159C95C
WeaponDesiredIsEquiped	0x8F9F0304
WeaponDesiredIsFocusWeapon	0x2C3CCB35
WeaponDesired	0x7E1B4235
WeaponEquipedSocket	0xB2878A2E
WeaponEquipedType	0xEDAED604
WeaponEquiped	0x4B274357
WeaponEquiped	0x4B274357
WeaponFlags	0x8B30B474
WeaponHudLocked	0xED03502E
WeaponIsInventory	0x02EEB95B
WeaponIsThrowable	0x822AE23E
WeaponLastHitBy	0x2CC62B37
WeaponModelRequest	0xBE37BB42
WeaponModelRequest	0xBE37BB42
WeaponNeedInit	0xCA859A50
WeightedRandom	0x2265601F
WiiGrappleThrow	0xE233A672
WillAcceptGift	0x7A38E326
